value,clean,CODI_ATC_1,NOMBRE_1,CODI_ATC_0.9,NOMBRE_0.9,CODI_ATC_0.8,NOMBRE_0.8,CODI_ATC_0.7,NOMBRE_0.7
QUIMIOTERAPIA,QUIMIOTERAPIA,,,,,,,,
QUIMIO,QUIMIO,,,,,,,,
Quimio (VISNU),QUIMIO VISNU,,,,,,,,
TRANSTUZUMAB/PERTUZUMAB/DOCETAXEL/ONDANSETRON/DEXAMETASONA,TRANSTUZUMABPERTUZUMABDOCETAXELONDANSETRONDEXAMETASONA,,,,,,,,
VOLTAREN,VOLTAREN,,,,,,,M01AB,DOLO VOLTAREN
tansolosina,TANSOLOSINA,,,,,G04CA,TAMSULOSINA,G04CA,TAMSULOSINA
TRASTUZUMAB,TRASTUZUMAB,,,,,,,,
deltius,DELTIUS,,,,,,,B01AF,ELIQUIS
Blecometasona,BLECOMETASONA,,,,,R02AA,BUCOMETASANA,R02AA,BUCOMETASANA
Quimio (VISNU),QUIMIO VISNU,,,,,,,,
quimioterapia i radioterapia,QUIMIOTERAPIA I RADIOTERAPIA,,,,,,,,
Quimio (VISNU),QUIMIO VISNU,,,,,,,,
metformina,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
metformina,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
REPLAGIDINA,REPLAGIDINA,,,,,,,L01AC,TEPADINA
METMORFINA 850,METMORFINA,,,,,N02AA,MORFINA,N02AA,MORFINA
JANUVIA,JANUVIA,A10BH,JANUVIA,A10BH,JANUVIA,A10BH,JANUVIA,A10BH,JANUVIA
metformina,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
metformina,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
Meformina,MEFORMINA,,,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
diaven,DIAVEN,,,,,,,C05BA,DINOVEN
Glicacida,GLICACIDA,,,,,A10BB,GLICLAZIDA,A10BB,GLICLAZIDA
METAFORMINA 850,METAFORMINA,,,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
Humalog kwikpen i Lantus,HUMALOG KWIKPEN I LANTUS,,,,,,,A10AB,HUMALOG KWIKPEN
MEFORMINA,MEFORMINA,,,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
Metformina,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
Meformina 850 mg,MEFORMINA,,,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
insulina lantus,INSULINA LANTUS,,,,,,,A10AE,INSULINA ULTRALENTE
novornom,NOVORNOM,,,,,A10BX,NOVONORM,A10BX,NOVONORM
"PRANDIN,EUTIROX,LANTUS,MENFORMINA",PRANDINEUTIROXLANTUSMENFORMINA,,,,,,,,
Metformina,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
insulina,INSULINA,,,,,D01BA,SULVINA,D01BA,SULVINA
janumet,JANUMET,A10BD,JANUMET,A10BD,JANUMET,A10BD,JANUMET,A10BD,JANUMET
EFICIB,EFICIB,,,A10BD,EFFICIB,A10BD,EFFICIB,A10BD,EFFICIB
jardinet,JARDINET,,,,,J01CA,ARDINE,J01CA,ARDINE
metformina,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
Merformina,MERFORMINA,,,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
metformina,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
METFORMINA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
JANUVIA,JANUVIA,A10BH,JANUVIA,A10BH,JANUVIA,A10BH,JANUVIA,A10BH,JANUVIA
BYUDERAN,BYUDERAN,,,,,,,R01AD,BUDENA
glicazida,GLICAZIDA,,,A10BB,GLICLAZIDA,A10BB,GLICLAZIDA,A10BB,GLICLAZIDA
Humalog,HUMALOG,A10AB,HUMALOG,A10AB,HUMALOG,A10AB,HUMALOG,A10AB,HUMALOG
liyrica,LIYRICA,,,N03AX,LYRICA,N03AX,LYRICA,N03AX,LYRICA
glicacina,GLICACINA,,,,,,,J01GB,AMICACINA
No ho recordo,NO HO RECORDO,,,,,,,,
Glicazida,GLICAZIDA,,,A10BB,GLICLAZIDA,A10BB,GLICLAZIDA,A10BB,GLICLAZIDA
Diamicron,DIAMICRON,A10BB,DIAMICRON,A10BB,DIAMICRON,A10BB,DIAMICRON,A10BB,DIAMICRON
Meformina 850 g.,MEFORMINA,,,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
bydoryeon,BYDORYEON,,,,,A10BX,BYDUREON,A10BX,BYDUREON
Invokana,INVOKANA,,,,,,,N06DX,GINKOKAN
janumet,JANUMET,A10BD,JANUMET,A10BD,JANUMET,A10BD,JANUMET,A10BD,JANUMET
Insulina,INSULINA,,,,,D01BA,SULVINA,D01BA,SULVINA
jardiance,JARDIANCE,,,,,L01BB,ATRIANCE,L01BB,ATRIANCE
JARDIANCE 10,JARDIANCE,,,,,L01BB,ATRIANCE,L01BB,ATRIANCE
Lantus,LANTUS,,,,,,,S01EE,LATUSOL
Meformina 850 mg.,MEFORMINA,,,A10BA,METFORMINA,A10BA,METFORMINA,A10BA,METFORMINA
ENAPRIL,ENAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
Amlodipino 5,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO
simvastatina,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Amlodipino,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO
Es?dres,ES?DRES,,,,,,,C03AA,ESIDREX
ENELAPRIL,ENELAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
enalapril,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
COVALS,COVALS,,,C09DA,CO VALS,C09DA,CO VALS,C09DA,CO VALS
Lisonopril,LISONOPRIL,,,C09AA,LISINOPRIL,C09AA,LISINOPRIL,C09AA,LISINOPRIL
enanopril,ENANOPRIL,,,,,,,C09AA,ENALAPRIL
CO-DIOVAN,CODIOVAN,,,C09DA,CO DIOVAN,C09DA,CO DIOVAN,C09DA,CO DIOVAN
CO-DIOVAN,CODIOVAN,,,C09DA,CO DIOVAN,C09DA,CO DIOVAN,C09DA,CO DIOVAN
euprenil,EUPRENIL,,,,,,,J01CA,EUPEN
ENNALAPRIL,ENNALAPRIL,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
ENALAPRIL 10 MG,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
Ramipril e Hidrosaluretil,RAMIPRIL E HIDROSALURETIL,,,,,,,C03AA,HIDROSALURETIL
enepril,ENEPRIL,,,,,,,C09AA,ENALAPRIL
enalapril,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
ENALOPRIL,ENALOPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
ENARAPRIL,ENARAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
EMALAPRIL,EMALAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
ANAPRIL 10,ANAPRIL,,,,,C09AA,TANATRIL,C09AA,TANATRIL
enalapril,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
TERMISARTAN,TERMISARTAN,,,C09CA,TELMISARTAN,C09CA,TELMISARTAN,C09CA,TELMISARTAN
enapril,ENAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
aladopino 5,ALADOPINO,,,,,,,C08CA,LACIDIPINO
hidrosaluretil,HIDROSALURETIL,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL
APROVEL,APROVEL,C09CA,APROVEL,C09CA,APROVEL,C09CA,APROVEL,C09CA,APROVEL
co-vals forte,COVALS FORTE,,,C09DA,CO VALS FORTE,C09DA,CO VALS FORTE,C09DA,CO VALS FORTE
AMERIDE,AMERIDE,C03EA,AMERIDE,C03EA,AMERIDE,C03EA,AMERIDE,C03EA,AMERIDE
ENALAPRIL STADA 20 MG/BARNIX 20 MG,ENALAPRIL STADA  MGBARNIX,,,,,,,,
enarapril,ENARAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
ENALAPRIN,ENALAPRIN,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
BASALTAN,BASALTAN,,,,,,,S01EE,SAFLUTAN
analapril,ANALAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
enarapril,ENARAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
PRYTOR,PRYTOR,,,,,C09CA,PRITOR,C09CA,PRITOR
corretrnet,CORRETRNET,,,,,,,,
atenolol y hidroclorotiazida,ATENOLOL Y HIDROCLOROTIAZIDA,,,,,,,C09BA,ENALAPRIL+HIDROCLOROTIAZIDA
paraples y cada vez mesnos dosis,PARAPLES Y CADA VEZ MESNOS DOSIS,,,,,,,,
LARSAN O SEMBLANT,LARSAN O SEMBLANT,,,,,,,,
enerapril,ENERAPRIL,,,,,,,C09AA,ENALAPRIL
enconcorcor 2.5,ENCONCORCOR,,,,,C07AB,EMCONCOR COR,C07AB,EMCONCOR COR
anapril,ANAPRIL,,,,,C09AA,TANATRIL,C09AA,TANATRIL
LUVIBON,LUVIBON,,,,,,,A16AX,LUPIDON
valtasaran,VALTASARAN,,,,,C09CA,VALSARTAN,C09CA,VALSARTAN
Enarapril,ENARAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
losartan,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN
ELANAPRIL,ELANAPRIL,,,,,,,C09AA,ENALAPRIL
sutril,SUTRIL,C03CA,SUTRIL,C03CA,SUTRIL,C03CA,SUTRIL,C03CA,SUTRIL
Enapril,ENAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
kalpres,KALPRES,,,C09CA,KALPRESS,C09CA,KALPRESS,C09CA,KALPRESS
enepril,ENEPRIL,,,,,,,C09AA,ENALAPRIL
