"Text";"Freq";"Codi";"Descr_codi";"Codi_3";"Descr_codi_3";"Gran_grup_classif";"Descr_gran_grup_clasif";"Gran_grup_CCS";"Desc_gran_grup_CCS"
"HERNIES DISCALS";2;"";"";"";"";"";"";"";""
"HERPES";2;"";"";"";"";"";"";"";""
"HERPES LABIAL";2;"";"";"";"";"";"";"";""
"INCONTINENCIA URINARIA";2;"";"";"";"";"";"";"";""
"LO MISMO";2;"";"";"";"";"";"";"";""
"MANCA DE CALCI";2;"";"";"";"";"";"";"";""
"MONONUCLEOSI INFECCIOSA";2;"";"";"";"";"";"";"";""
"STRESS";2;"";"";"";"";"";"";"";""
"HIPERMENORREA";2;"";"";"";"";"";"";"";""
"HIPERPARATIROIDISME";2;"";"";"";"";"";"";"";""
"HIPERTENSION OCULAR";2;"";"";"";"";"";"";"";""
"HIPERTENSIO OCULAR";2;"";"";"";"";"";"";"";""
"HIPERTROFIA PROSTATA";2;"";"";"";"";"";"";"";""
"HIPOTIRODISME";2;"";"";"";"";"";"";"";""
"HIPOTIROISDISMO";2;"";"";"";"";"";"";"";""
"HOPOTIROIDISME";2;"";"";"";"";"";"";"";""
"HORMONAS";2;"";"";"";"";"";"";"";""
"HPOTIROIDISME";2;"";"";"";"";"";"";"";""
"INFECCIO ORINA";2;"";"";"";"";"";"";"";""
"INSOMMI";2;"";"";"";"";"";"";"";""
"INSUFICIENCIA CIRCULATORIA";2;"";"";"";"";"";"";"";""
"INSUFICIENCIA CIRCULATORIA RETORN";2;"";"";"";"";"";"";"";""
"LAXANT";2;"";"";"";"";"";"";"";""
"LUMBAGO";2;"";"";"";"";"";"";"";""
"PROTECTOR DE ESTOMAGO";84;"";"";"";"";"";"";"";""
"LUMBALGIA I CERVICALGIA";2;"";"";"";"";"";"";"";""
"LUXACION NERVIO CUBITAL";2;"";"";"";"";"";"";"";""
"MALA CIRCULACION";2;"";"";"";"";"";"";"";""
"MAL D'ESQUENA";2;"";"";"";"";"";"";"";""
"MAL D'ESTOMAC";2;"";"";"";"";"";"";"";""
"MANCA DE FERRO";2;"";"";"";"";"";"";"";""
"MENISCO";2;"";"";"";"";"";"";"";""
"ANTICONCEPTIVO";48;"";"";"";"";"";"";"";""
"MIGRANAS";2;"";"";"";"";"";"";"";""
"MIOCARDIOPATIA HIPERTROFICA";2;"";"";"";"";"";"";"";""
"\""NODULOS""";2;"";"";"";"";"";"";"";""
"OCULAR";2;"";"";"";"";"";"";"";""
"OSSOS I ARTICULACIONS";2;"";"";"";"";"";"";"";""
"PAGET";2;"";"";"";"";"";"";"";""
"PALPITACIONES";2;"";"";"";"";"";"";"";""
"PARA LOS NERVIOS";2;"";"";"";"";"";"";"";""
"PARATIDOIDES";2;"";"";"";"";"";"";"";""
"PEDRES AL RONYO";2;"";"";"";"";"";"";"";""
"PEL FERRO";2;"";"";"";"";"";"";"";""
"PERICARDITIS AGUDA";2;"";"";"";"";"";"";"";""
"PICORES";2;"";"";"";"";"";"";"";""
"PIEL";2;"";"";"";"";"";"";"";""
"PIELONEFRITIS";2;"";"";"";"";"";"";"";""
"PLAQUETOPENIA";2;"";"";"";"";"";"";"";""
"PLEURITIS TUBERCULOSA";2;"";"";"";"";"";"";"";""
"PNEUMOTORAX";2;"";"";"";"";"";"";"";""
"POLIPS ENDOMETRI";2;"";"";"";"";"";"";"";""
"POLIPS NASALS";2;"";"";"";"";"";"";"";""
"POLIPS VESICULA";2;"";"";"";"";"";"";"";""
"PRECAUCION";2;"";"";"";"";"";"";"";""
